total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed
2300.0,1700.0,600.0,20.5,112.2,1.0,4.0,2024.0,apartamentowiec,agency,54.37822,18.59636,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0
2446.0,2446.0,0.0,27.0,90.59,1.0,2.0,2019.0,unknown,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
4800.0,2500.0,2300.0,32.0,150.0,1.0,0.0,1908.0,kamienica,agency,54.40734,18.56777,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
2795.0,2496.0,299.0,29.0,96.38,1.0,4.0,2015.0,blok,agency,54.37822,18.59636,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
2699.0,2400.0,299.0,37.89,71.23,2.0,2.0,2019.0,unknown,agency,54.33436,18.56824,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0
5000.0,2500.0,2500.0,42.0,119.05,2.0,0.0,2019.0,blok,agency,54.3341912,18.5849333,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1
3660.0,2900.0,760.0,37.0,98.92,2.0,2.0,2019.0,apartamentowiec,private,54.388737163327,18.596487562726,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
2550.0,2550.0,0.0,41.2,61.89,2.0,1.0,2019.0,blok,agency,54.344812,18.65209622,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0
2750.0,2300.0,450.0,40.57,67.78,2.0,3.0,2019.0,blok,agency,54.3085404,18.58618843,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1
2700.0,2700.0,0.0,46.0,58.7,2.0,5.0,2019.0,unknown,agency,54.4095274,18.6012421,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
4400.0,3300.0,1100.0,71.0,61.97,3.0,1.0,1990.0,unknown,agency,54.35505,18.57172,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0
3200.0,2400.0,800.0,45.0,71.11,2.0,2.0,2019.0,blok,agency,54.360689,18.716273,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0
7400.0,6200.0,1200.0,65.0,113.85,3.0,2.0,2023.0,blok,agency,54.3990269,18.5658514,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
3150.0,2500.0,650.0,41.0,76.83,2.0,2.0,2025.0,apartamentowiec,agency,54.3102555,18.5987562,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
3500.0,3500.0,0.0,70.0,50.0,2.0,1.0,2011.0,apartamentowiec,agency,54.35024,18.66055,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
