total_price_pln,price_pln,czynsz_pln,area_m2,price_per_m2,rooms,floor_number,year_built,building_type,owner_type,lat,lon,has_balcony,has_terrace,has_garden,has_elevator,has_garage,has_parking,has_storage_room,has_air_conditioning,has_furnished,has_dishwasher,has_washing_machine,has_fridge,has_oven,has_intercom,has_monitoring,has_protected_estate,has_pets_allowed,listing_id,has_image_score,avg_confidence_all,avg_confidence_usable,image_score_mean,image_score_weighted,image_score_top2_weighted,image_score_max,best_overall_quality,best_condition,best_modernness,best_furnishing_quality
4400.0,3400.0,1000.0,42.0,104.76,2.0,5.0,2026.0,apartamentowiec,private,54.402242813055,18.650221431712,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4ApEi,1,0.7,0.7,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.4427499999999999,0.8,0.5,0.5,0.5
5000.0,2500.0,2500.0,45.0,111.11,2.0,2.0,2018.0,blok,agency,54.310952412265,18.597514169588,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,4zKmb,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
2970.0,2400.0,570.0,40.0,74.25,2.0,4.0,2021.0,apartamentowiec,private,54.316767875245,18.589626235627,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,4Ap81,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3900.0,3000.0,900.0,63.0,61.9,3.0,6.0,1977.0,blok,private,54.396289530026,18.597330278326,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,4zZx3,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
5100.0,4200.0,900.0,60.5,84.3,3.0,6.0,2022.0,apartamentowiec,agency,54.383968,18.590558,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,4AdR6,1,0.8,0.8,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.5924699999999999,0.95,0.5,0.5,0.8
3200.0,3200.0,0.0,63.4,50.47,3.0,2.0,1985.0,blok,agency,54.33513,18.60646,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,4vttJ,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3300.0,2900.0,400.0,47.5,69.47,2.0,3.0,2019.0,kamienica,private,54.3862266,18.6117066,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,4du4y,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350.0,2700.0,650.0,44.74,74.88,2.0,3.0,2023.0,blok,private,54.3231845,18.5553674,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4Apwd,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
4800.0,3800.0,1000.0,58.0,82.76,3.0,4.0,2024.0,apartamentowiec,private,54.3038143,18.6132289,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4AjQt,1,0.8,0.8,0.4654499999999999,0.46545,0.46545,0.4654499999999999,0.75,0.5,0.5,0.5
3836.0,3289.0,547.0,45.57,84.18,2.0,3.0,2026.0,blok,agency,54.357011004093,18.661089617209,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4AoeV,1,0.7,0.7,0.5474,0.5474,0.5474,0.5474,1.0,0.5,0.5,0.8
